comments,during_time,language,location,rate,star,title,types
4497,117, 日语, 日本,7.8,40,命运之夜——天之杯II ：迷失之蝶,"剧情,动画,奇幻"
11477,86, 英语, 美国,7.2,35,爱宠大机密2,"喜剧,动画,冒险"
201628,98," 汉语普通话 , 英语", 中国大陆,6.9,35,飞驰人生,喜剧
39640,100, 英语, 美国,8.8,45,玩具总动员4,"喜剧,动画,奇幻"
138484,99, 汉语普通话," 中国大陆 , 美国",7.9,40,白蛇：缘起,"爱情,动画,奇幻"
53259,132, 英语, 美国,6.3,30,雷霆沙赞！,"动作,奇幻,冒险"
165492,116," 汉语普通话 , 英语", 中国大陆,6.4,30,疯狂的外星人,"喜剧,科幻"
111739,124, 英语, 美国,6.9,35,惊奇队长,"动作,科幻,冒险"
54495,175, 汉语普通话, 中国大陆,7.9,40,地久天长,"剧情,家庭"
12481,103," 粤语 , 汉语普通话"," 香港 , 中国大陆",5.7,30,追龙Ⅱ,"剧情,动作,犯罪"
132291,122," 英语 , 西班牙语"," 美国 , 加拿大 , 阿根廷",7.5,40,阿丽塔：战斗天使,"动作,科幻,冒险"
16728,109, 韩语, 韩国,7.6,40,恶人传,"剧情,动作,犯罪"
551109,125," 汉语普通话 , 英语 , 俄语 , 法语 , 日语 , 韩语 , 印尼语", 中国大陆,7.9,40,流浪地球,"科幻,灾难"
33659,99," 汉语普通话 , 粤语"," 中国大陆 , 香港",6.2,30,扫毒2天地对决,"剧情,动作,悬疑,犯罪"
227218,181," 英语 , 日语 , 科萨语", 美国,8.6,45,复仇者联盟4：终局之战,"动作,科幻,奇幻,冒险"
83524,104," 英语 , 日语"," 美国 , 日本",6.6,35,大侦探皮卡丘,"喜剧,动画,奇幻,冒险"
47189,104, 英语, 美国,7.4,35,驯龙高手3,"动画,奇幻,冒险"
105681,127, 英语, 美国,7.9,40,蜘蛛侠：英雄远征,"动作,科幻,冒险"
48697,111, 汉语普通话, 中国大陆,6.7,35,老师·好,剧情
18869,111," 韩语 , 汉语普通话 , 英语 , 日语", 韩国,7.7,40,极限职业,"喜剧,动作,犯罪"
13806,116, 英语," 美国 , 日本 , 中国大陆",6.5,35,我们,"悬疑,惊悚"
2683,132, 韩语, 韩国,9.2,45,寄生虫,剧情
18486,108, 汉语普通话, 中国大陆,3.8,20,神探蒲松龄,"喜剧,动作,奇幻"
27925,115, 英语, 美国,5.7,30,黑衣人：全球追缉,"喜剧,动作,科幻"
1070,111, 英语, 美国,6.8,35,夏福特,"喜剧,动作,犯罪"
7424,131," 英语 , 俄语 , 日语 , 意大利语", 美国,8.1,40,疾速备战,"动作,惊悚,犯罪"
20312,114, 粤语," 香港 , 中国大陆",5.4,25,廉政风云,"剧情,悬疑,犯罪"
39252,147, 汉语普通话, 中国大陆,6.2,30,银河补习班,剧情
13179,112, 英语, 美国,6.7,35,小飞象,"奇幻,冒险"
34765,110, 汉语普通话, 中国大陆,8.7,45,哪吒之魔童降世,"喜剧,动画,奇幻"
2005,93, 英语, 美国,5.9,30,哭泣女人的诅咒,"悬疑,惊悚,恐怖"
52156,128, 英语, 美国,7.8,40,阿拉丁,"爱情,歌舞,奇幻,冒险"
27992,122, 汉语普通话, 中国大陆,4.6,25,一吻定情,"喜剧,爱情"
55220,132, 英语, 美国,6.4,30,哥斯拉2：怪兽之王,"动作,科幻,冒险,灾难"
755,116, 法语, 法国,7.2,35,狼嚎,"战争,灾难"
5011,105, 日语, 日本,8.4,40,行骗天下：运势篇,"剧情,喜剧"
835,106, 英语, 美国,5.7,30,之后,"剧情,爱情"
2752,101, 英语, 美国,5.7,30,宠物坟场,"悬疑,惊悚,恐怖"
2461,129, 韩语, 韩国,7.7,40,证人,"剧情,惊悚"
6501,90, 汉语普通话, 中国大陆,3.4,15,人间·喜剧,喜剧
